City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
222,Bagotville,AU,77.02,clear sky,-28.9833,153.4167,Broadwater Sunrise Caravan Park
226,Jimo,CN,80.38,clear sky,36.3897,120.4622,Thank Inn Chain Hotel Shandong Jimo Bus Station
229,Butaritari,KI,82.9,clear sky,3.0707,172.7902,Isles Sunset Lodge
230,Sorong,ID,82.6,overcast clouds,-0.8833,131.25,waigo splash hotel
233,Porto Novo,BJ,75.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
237,Wewak,PG,81.86,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
238,Faanui,PF,77.83,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
240,Basco,PH,85.14,few clouds,20.4487,121.9702,Nathaniel's Lodge
241,Betma,IN,82.62,haze,22.6833,75.6167,Khandelwal Paradise
243,Tshikapa,CD,81.97,broken clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
247,Axim,GH,77.02,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
249,Kailua,US,80.58,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
255,Auki,SB,79.25,overcast clouds,-8.7676,160.7034,Auki Motel
256,Makakilo City,US,79.12,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
257,Dakoro,NE,79.83,overcast clouds,14.5106,6.765,Shagon mai liverpool
258,Luganville,VU,77.32,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
259,Korla,CN,76.78,overcast clouds,41.7597,86.1469,Gulisitan Hotel
261,Sabang,ID,83.05,overcast clouds,5.8933,95.3214,Hotel Citra
264,Geraldton,AU,77.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
265,Kieta,PG,80.94,light rain,-6.2167,155.6333,Uruna Bay Retreat
266,Totness,SR,76.8,broken clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
268,Salalah,OM,86.09,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
271,Mangan,IN,83.77,broken clouds,27.5167,88.5333,Hotel Mout View
272,Kannur,IN,84.97,overcast clouds,11.8675,75.3576,Asokam Beach Resort and Ayurveda Chikitsa Kendram
273,Porbandar,IN,85.98,broken clouds,21.6422,69.6093,Lords Inn Porbandar
